"dates","reservas.internacionais","divida.liquida","nfsp","juros.de.mora","juros.eua","transacoes.correntes","conta.capital","dolar.diario","ipca","meta.selic","selic.efetiva","pib.var.acum.12.meses","desemprego.pnadc"
2014.3,377801.8,20.5,0.39,0.00948727,0.25,-10317.2,-1.9,2.22132,6.5,11,10.9,0.55,6.9
2014.29,377944.4,20.5,0.39,0.00948727,0.25,-10317.2,-1.9,2.22658,6.5,11,10.9,0.55,6.9
2014.28,378053.4,20.5,0.39,0.00948727,0.25,-10317.2,-1.9,2.2191,6.5,11,10.9,0.55,6.9
2014.27,376142.2,20.5,0.39,0.00948727,0.25,-10317.2,-1.9,2.21286,6.5,11,10.9,0.55,6.9
2014.26,372831.6,20.38,0.59,0.00824472,0.25,-4723.4,6.4,2.21056,6.52,11,10.9,0.39,6.85
2014.25,371965.25,20.38,0.59,0.00824472,0.25,-4723.4,6.4,2.242825,6.52,11,10.9,0.39,6.85
2014.24,371720.4,20.38,0.59,0.00824472,0.25,-4723.4,6.4,2.23184,6.52,11,10.9,0.39,6.85
2014.23,371517.2,20.38,0.59,0.00824472,0.25,-4723.4,6.4,2.26472,6.52,11,10.9,0.39,6.85
2014.22,368747.4,20.38,0.59,0.00824472,0.25,-4723.4,6.4,2.23218,6.52,11,10.9,0.39,6.85
2014.21,368704.6,19.91,2.3,0.00865873,0.25,-6647.9,4.7,2.21392,6.37,11,10.9,0.74,6.98
2014.2,368650.2,19.91,2.3,0.00865873,0.25,-6647.9,4.7,2.2134,6.37,11,10.9,0.74,6.98
2014.19,368614.8,19.91,2.3,0.00865873,0.25,-6647.9,4.7,2.22378,6.37,11,10.9,0.74,6.98
2014.18,366540,19.91,2.3,0.00865873,0.25,-6647.9,4.7,2.22875,6.37,11,10.9,0.74,6.98
2014.17,366183.25,19.62,-3.54,0.00822668,0.25,-8168.1,5.2,2.235725,6.28,11,10.9,0.67,7.14
2014.16,366404,19.62,-3.54,0.00822668,0.25,-8168.1,5.2,2.229425,6.28,11,10.9,0.67,7.14
2014.15,366395.6,19.62,-3.54,0.00822668,0.25,-8168.1,5.2,2.20914,6.28,11,10.9,0.67,7.14
2014.14,364797.2,19.62,-3.54,0.00822668,0.25,-8168.1,5.2,2.26384,6.28,10.8928571428571,10.75,0.67,7.14
2014.13,363586.6,19.74,-0.67,0.00765957,0.25,-7536.3,12.4,2.29848,6.15,10.75,10.65,0.76,7.17
2014.12,363955.6,19.74,-0.67,0.00765957,0.25,-7536.3,12.4,2.34086,6.15,10.75,10.65,0.76,7.17
2014.11,364139.2,19.74,-0.67,0.00765957,0.25,-7536.3,12.4,2.35288,6.15,10.75,10.65,0.76,7.17
2014.1,363606.666666667,19.74,-0.67,0.00765957,0.25,-7536.3,12.4,2.32386666666667,6.15,10.75,10.65,0.76,7.17
2014.09,362343.2,19.74,-0.67,0.00765957,0.25,-7536.3,12.4,2.33964,6.15,10.6428571428571,10.5,0.76,7.17
2014.08,362243,19.32,0.74,0.00790146,0.25,-8156.3,25.6,2.38526,5.68,10.5,10.4,1.06,6.75
2014.07,362077.4,19.32,0.74,0.00790146,0.25,-8156.3,25.6,2.4052,5.68,10.5,10.4,1.06,6.75
2014.06,361596.6,19.32,0.74,0.00790146,0.25,-8156.3,25.6,2.40462,5.68,10.5,10.4,1.06,6.75
2014.05,361327,19.32,0.74,0.00790146,0.25,-8156.3,25.6,2.42186,5.68,10.5,10.4,1.06,6.75
2014.04,361059,18.79,-2.72,0.00849344,0.25,-13344.9,46.2,2.36868,5.59,10.5,10.4,0.86,6.4
2014.03,361086.8,18.79,-2.72,0.00849344,0.25,-13344.9,46.2,2.35724,5.59,10.2857142857143,10.1,0.86,6.4
2014.02,361012,18.79,-2.72,0.00849344,0.25,-13344.9,46.2,2.37962,5.59,10,9.9,0.86,6.4
2014.01,362388.2,18.79,-2.72,0.00849344,0.25,-13344.9,46.2,2.55246,5.59,10.65625,10.95,0.86,6.4
2013.52,358858.25,19.23,-3.09,0.00789746,0.25,-4322.8,17.2,2.357625,5.91,10,9.9,1,6.18
2013.51,359443,19.23,-3.09,0.00789746,0.25,-4322.8,17.2,2.3419,5.91,10,9.9,1,6.18
2013.5,360545.2,19.23,-3.09,0.00789746,0.25,-4322.8,17.2,2.32562,5.91,10,9.9,1,6.18
2013.49,361311.8,19.23,-3.09,0.00789746,0.25,-4322.8,17.2,2.36038,5.91,10,9.898,1,6.18
2013.48,362292,19.23,-3.09,0.00789746,0.25,-4322.8,17.2,2.30852,5.91,9.78571428571429,9.6,1,6.18
2013.47,362604.4,19.35,-6.11,0.00719208,0.25,-5374.5,9.7,2.28392,5.77,9.5,9.4,0.84,6.48
2013.46,362171,19.35,-6.11,0.00719208,0.25,-5374.5,9.7,2.325675,5.77,9.5,9.4,0.84,6.48
2013.45,363092.2,19.35,-6.11,0.00719208,0.25,-5374.5,9.7,2.27906,5.77,9.5,9.4,0.84,6.48
2013.44,364871.8,19.35,-6.11,0.00719208,0.25,-5374.5,9.7,2.20064,5.77,9.5,9.4,0.84,6.48
2013.43,366174.6,20.46,-1.12,0.0081051,0.25,-6874.9,22.4,2.1835,5.84,9.5,9.4,0.87,6.71
2013.42,366161.4,20.46,-1.12,0.0081051,0.25,-6874.9,22.4,2.16982,5.84,9.5,9.4,0.87,6.71
2013.41,366649.4,20.46,-1.12,0.0081051,0.25,-6874.9,22.4,2.19656,5.84,9.28571428571429,9.1,0.87,6.71
2013.4,367968.4,20.46,-1.12,0.0081051,0.25,-6874.9,22.4,2.21262,5.84,9,8.9,0.87,6.71
2013.39,368354,20.42,2.44,0.00713029,0.25,-4283.5,15.7,2.22288,5.86,9,8.9,0.89,6.94
2013.38,368428.8,20.42,2.44,0.00713029,0.25,-4283.5,15.7,2.23688,5.86,9,8.9,0.89,6.94
2013.37,368063.8,20.42,2.44,0.00713029,0.25,-4283.5,15.7,2.28296,5.86,9,8.9,0.89,6.94
2013.36,367383.2,20.42,2.44,0.00713029,0.25,-4283.5,15.7,2.34742,5.86,9,8.9,0.89,6.94
2013.35,367313.6,20.42,2.44,0.00713029,0.25,-4283.5,15.7,2.37042,5.86,8.78571428571429,8.6,0.89,6.94
2013.34,370953.2,19.38,0.01,0.00710315,0.25,-5250.5,61.5,2.40834,6.09,8.5,8.4,0.66,7.11
2013.33,372406.2,19.38,0.01,0.00710315,0.25,-5250.5,61.5,2.31748,6.09,8.5,8.4,0.66,7.11
2013.32,372705.6,19.38,0.01,0.00710315,0.25,-5250.5,61.5,2.29246,6.09,8.5,8.4,0.66,7.11
2013.31,371845.2,19.38,0.01,0.00710315,0.25,-5250.5,61.5,2.28186,6.09,8.5,8.4,0.66,7.11
2013.3,371763.4,19.64,-0.82,0.00724092,0.25,-11661,62.8,2.23972,6.27,8.5,8.4,0.87,7.28
2013.29,371027,19.64,-0.82,0.00724092,0.25,-11661,62.8,2.23868,6.27,8.5,8.4,0.87,7.28
2013.28,369306.8,19.64,-0.82,0.00724092,0.25,-11661,62.8,2.265,6.27,8.28571428571429,8.1,0.87,7.28
2013.27,369652.8,19.64,-0.82,0.00724092,0.25,-11661,62.8,2.25166,6.27,8,7.9,0.87,7.28
2013.26,369528,20.14,-0.32,0.00605273,0.25,-3537.3,18,2.21354,6.7,8,7.9,0.88,7.43
2013.25,375136.6,20.14,-0.32,0.00605273,0.25,-3537.3,18,2.20318,6.7,8,7.9,0.88,7.43
2013.24,375408.2,20.14,-0.32,0.00605273,0.25,-3537.3,18,2.14522,6.7,8,7.9,0.88,7.43
2013.23,375220.4,20.14,-0.32,0.00605273,0.25,-3537.3,18,2.12988,6.7,8,7.9,0.88,7.43
2013.22,374742.75,20.14,-0.32,0.00605273,0.25,-3537.3,18,2.0839,6.7,7.78571428571429,7.525,0.88,7.43
2013.21,375389.6,20.45,-1.19,0.00598536,0.25,-6325,4,2.04308,6.5,7.5,7.4,0.77,7.58
2013.2,376001.8,20.45,-1.19,0.00598536,0.25,-6325,4,2.02108,6.5,7.5,7.4,0.77,7.58
2013.19,377871.2,20.45,-1.19,0.00598536,0.25,-6325,4,2.0113,6.5,7.5,7.4,0.77,7.58
2013.18,378402.5,20.45,-1.19,0.00598536,0.25,-6325,4,2.0051,6.5,7.5,7.4,0.77,7.58
2013.17,377105,21.1,-1.61,0.00613646,0.25,-6744.6,13.1,2.01376,6.49,7.5,7.4,1.15,7.84
